city,latitude,longitude,distance_to_road_m,distance_to_industry_m,distance_to_farmland_m,distance_to_dump_m
"Phase-4 GIDC, Vatva - GPCB",22.969611,72.6435,51.43,0.0,5000.0,5000.0
"Mahape, Navi Mumbai - MPCB",19.1135051,73.008978,6.11,45.7,3469.63,3820.31
"H.B. Colony, Bhiwani - HSPCB",28.806223,76.141105,3.95,1105.71,5000.0,5000.0
"Kurla, Mumbai - MPCB",19.0863,72.8888,53.01,118.02,1482.28,3950.74
"Belur Math, Howrah - WBPCB",22.629801,88.352017,8.39,873.75,5366.11,5159.71
"General Hospital, Mandikhera - HSPCB",27.9002,76.9938,5000.0,5000.0,5000.0,5000.0
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.10078,72.87462,0.74,252.78,845.27,6145.27
"Municipal Corporation Office, Dharuhera -  HSPCB",28.2068,76.7997,26.43,873.67,2250.26,5000.0
"Jadavpur, Kolkata - WBPCB",22.49929,88.36917,18.17,135.36,6497.97,4755.1
"Murthal, Sonipat - HSPCB",29.0272,77.0621,51.04,839.66,5000.0,5000.0
"F-Block, Sirsa - HSPCB",29.5364,75.0158,25.69,4145.24,5000.0,5000.0
"Sector-2 IMT, Manesar - HSPCB",28.360699,76.93609,22.61,0.0,2699.22,6815.37
"Chikkaballapur Rural, Chikkaballapur - KSPCB",13.428828,77.731418,64.1,704.34,5000.0,5000.0
"Powai, Mumbai - MPCB",19.1375,72.915056,5.35,828.79,1407.07,3277.4
"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829,19.74,91.97,2634.05,5000.0
"Sector-18, Panipat - HSPCB",29.435587,76.975531,29.02,695.26,5000.0,5000.0
"Siddharth Nagar-Worli, Mumbai - IITM",19.000083,72.813993,14.21,71.9,2860.55,5059.71
"Patparganj, Delhi - DPCC",28.623748,77.287205,17.38,0.0,1196.39,4011.38
"Shrivastav Colony, Damoh - MPPCB",23.81748678,79.446246,26.82,5192.49,5000.0,5000.0
"GIDC, Ankleshwar - GPCB",21.613267,73.010555,18.02,0.0,5000.0,5000.0
"Police Lines, Jind - HSPCB",29.307814,76.337619,24.26,4834.82,5000.0,3198.41
"Patti Mehar, Ambala - HSPCB",30.379589,76.778328,22.94,1107.07,3304.09,5000.0
"Borivali East, Mumbai - MPCB",19.227474,72.864394,47.26,719.86,2946.32,3247.65
"Udyogamandal, Eloor - Kerala PCB",10.073232,76.302765,42.98,124.7,774.49,5000.0
"Sion, Mumbai - MPCB",19.047,72.8746,22.39,144.76,881.02,5902.39
"Phase-1 GIDC, Vapi - GPCB",20.362421,72.918013,21.2,0.0,5000.0,5000.0
"Huda Sector, Fatehabad - HSPCB",29.503664,75.467934,7.02,2271.19,643.95,5000.0
"Shastri Nagar, Narnaul - HSPCB",28.060249,76.113115,58.07,1475.33,2214.52,5000.0
"Rishi Nagar, Kaithal - HSPCB",29.8006,76.4155,8.61,1822.62,5000.0,5000.0
"Nathu Colony, Ballabgarh - HSPCB",28.3419248,77.319699,1.79,448.92,4355.66,5000.0
"Jayanagar 5th Block, Bengaluru - KSPCB",12.920984,77.584908,0.4,170.66,3875.24,3943.79
"Bapuji Nagar, Bengaluru - KSPCB",12.951913,77.539784,8.06,0.0,6704.16,6374.88
"Silk Board, Bengaluru - KSPCB",12.917348,77.622813,2.14,53.13,1971.74,3545.51
"Jai Bhim Nagar, Meerut - UPPCB",28.9535882,77.7622941,34.22,795.18,3953.57,4492.2
"Knowledge Park - III, Greater Noida - UPPCB",28.47272,77.482,5.04,1149.94,749.08,5000.0
"Sector-1, Noida - UPPCB",28.589247,77.321962,7.21,0.0,2800.33,3446.2
"Fort William, Kolkata - WBPCB",22.55664,88.342674,11.41,955.04,5000.0,4539.77
"Hombegowda Nagar, Bengaluru - KSPCB",12.938539,77.5901,15.86,160.87,2245.88,5000.0
"Hebbal, Bengaluru - KSPCB",13.029152,77.585901,8.42,256.74,554.04,4698.42
"Yamunapuram, Bulandshahr - UPPCB",28.406963,77.849831,3.48,3140.17,5000.0,5000.0
"Knowledge Park - V, Greater Noida - UPPCB",28.557054,77.453663,6.22,663.24,5000.0,5000.0
"Vile Parle West, Mumbai - MPCB",19.10861,72.83622,23.54,313.44,2147.02,4976.93
"Sector-116, Noida - UPPCB",28.56923,77.393848,15.54,1323.76,610.04,5000.0
"Loni, Ghaziabad - UPPCB",28.757294,77.278792,12.51,3090.41,1736.38,5000.0
"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,2.8,13.13,1129.04,5000.0
"Shyam Nagar, Palwal - HSPCB",28.1485564,77.3320667,4.99,3292.72,3898.86,5000.0
"Sector-7, Kurukshetra - HSPCB",29.966942,76.875879,44.57,914.02,5000.0,5000.0
"MD University, Rohtak - HSPCB",28.87793,76.620825,39.63,1192.32,4943.05,5000.0
"Hebbal 1st Stage, Mysuru - KSPCB",12.21041,76.37376,10.86,4296.76,5166.88,5000.0
"Chhoti Gwaltoli, Indore - MPPCB",22.431,75.5213,5000.0,5000.0,5000.0,5000.0
"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348,32.07,4626.85,1151.68,5000.0
"DRM Office Danapur, Patna - BSPCB",25.586562,85.043586,12.99,0.0,1470.92,5000.0
"Pallavpuram Phase 2, Meerut - UPPCB",29.06351,77.709723,4.4,191.91,5000.0,5000.0
"Khadakpada, Kalyan - MPCB",19.25292,73.142019,10.12,103.47,1332.14,2334.68
"Ganga Nagar, Meerut - UPPCB",28.999264,77.7590354,0.26,1970.5,1068.37,5000.0
