city,latitude,longitude,temperature,humidity,wind_speed,wind_direction
"Tirumala, Tirupati - APPCB",13.67,79.35,18.02,85,0.84,132
"IGI Airport (T3), Delhi - IMD",28.5627763,77.1180053,27.96,16,0.97,297
"IGSC Planetarium Complex, Patna - BSPCB",25.5941,85.1376,25.61,47,2.94,101
"Velachery Res. Area, Chennai - CPCB",13.0052189,80.2398125,24.94,72,4.08,94
"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,24.47,21,1.19,39
"Nehru Nagar, Kanpur - UPPCB",26.4703136,80.3229863,25.03,21,2.23,359
"Vasundhara, Ghaziabad - UPPCB",28.6603346,77.3572563,26.82,18,1.46,56
"Bhopal Chauraha, Dewas - MPPCB",22.9682591,76.064118,25.06,15,2.51,54
"Pusa, Delhi - DPCC",28.639645,77.146262,28.12,16,0.79,349
"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,28.06,16,0.85,12
"IHBAS, Dilshad Garden,New Delhi - CPCB",28.6811736,77.3025234,27.27,17,1.46,53
"Ratanpura, Rupnagar - Ambuja Cements",31.0325454,76.5623046,23.18,19,2.83,132
"Bandhavgar Colony, Satna - Birla Cement",24.58434363,80.8549414,25.41,20,0.91,270
"New Mandi, Muzaffarnagar - UPPCB",29.4723508,77.7194031,22.21,23,1.4,134
"Indirapuram, Ghaziabad - UPPCB",28.646233,77.358075,27.04,17,1.33,59
"Colaba, Mumbai - MPCB",18.91,72.82,28.29,62,3.84,22
"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738,28.18,16,0.93,37
"Gobind Pura, Yamuna Nagar - HSPCB",30.1480566,77.2893471,21.24,24,3.01,112
"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.0719006,27.76,16,1.22,288
"Alipur, Delhi - DPCC",28.815329,77.15301,26.18,19,1.36,25
"Shasthri Nagar, Ratlam - IPCA Lab",23.331731,75.045981,26.04,15,3.39,84
"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484,27.76,16,0.45,10
"Urban Estate-II, Hisar - HSPCB",29.14056,75.744941,25.44,19,2.03,249
"Arya Nagar, Bahadurgarh - HSPCB",28.6701,76.9254,26.01,18,2.18,277
