location_id,name,latitude,longitude,pollutants,timezone
80,Amsterdam-Van Diemenstraat,52.389983000188224,4.88781099987638,"co,no,no2,o3,pm10,pm25",Europe/Amsterdam
81,Coronel Norte,-37.008669,-73.148086,"co,o3,pm10,so2",America/Santiago
82,Haarlem-Schipholweg,52.3705,4.64232,"no,no2,o3,pm10",Europe/Amsterdam
85,Hellendoorn-Luttenbergerweg,52.38829100007745,6.402899999997742,"no,no2,o3,pm10",Europe/Amsterdam
86,De Rips-Blaarpeelweg,51.5475,5.8382,pm10,Europe/Amsterdam
87,De Rips-Klotterpeellaan,51.5359,5.80859,pm10,Europe/Amsterdam
90,Misheel expo,47.8943389,106.8824722,"co,no2,o3,pm10,so2",Asia/Ulaanbaatar
93,Nijmegen-Graafseweg,51.8413800001826,5.857771999792528,"co,no,no2,pm10,pm25",Europe/Amsterdam
94,"Din Daeng, Din Daeng",13.775373291477,100.56892844813,"co,no2,o3,pm10,so2",Asia/Bangkok
95,Amsterdam-Vondelpark,52.35971400001388,4.866208000411839,"co,no,no2,o3,pm10,pm25",Europe/Amsterdam
96,Wijk aan Zee-Burgemeester Rothestraat,52.49399200004851,4.601986000379324,"co,no,no2,pm10,pm25,so2",Europe/Amsterdam
97,IJmuiden-Kanaaldijk,52.463040000051045,4.60177600031704,"co,no,no2,pm10,pm25,so2",Europe/Amsterdam
98,Amsterdam-Westerpark,52.39397200025616,4.870156999790721,"pm10,pm25,so2",Europe/Amsterdam
99,Maastricht-A2 Kasteel Hillenraadweg,50.8598,5.71381,pm25,Europe/Amsterdam
100,Badhoevedorp-Sloterweg,52.33400300025121,4.7740060003231,"co,no,no2,pm10,pm25",Europe/Amsterdam
101,Amsterdam-Hoogtij,52.42801700027339,4.7734780002434976,"no,no2,pm10,pm25,so2",Europe/Amsterdam
102,Amsterdam-Einsteinweg,52.381331000231505,4.845232999687698,"co,no,no2,pm10,pm25",Europe/Amsterdam
103,"Income Tax Office, Delhi - CPCB",28.623499999999996,77.2494,"co,no2,o3,pm10,pm25",Asia/Kolkata
135,Prabadang Rehabiltation Center,13.664087,100.543436,"no2,o3,pm10,pm25,so2",Asia/Bangkok
136,Los Vientos,-32.833639,-70.99693,"co,o3,pm10,so2",America/Santiago
137,Harrow - Stanmore,51.617327,-0.298775,"no2,pm10,pm25",Europe/London
138,"Lat Phrao Rd., Wang Thonglang",13.792635009230002,100.59607755884001,"co,no2,o3,pm10,so2",Asia/Bangkok
139,Alto Hospicio,-20.259620485825,-70.088653564453,pm25,America/Santiago
140,Alto Hospicio,-20.290859340668,-70.09955406189,pm25,America/Santiago
141,London Harlington,51.48879,-0.441614,"no2,o3,pm10,pm25",Europe/London
142,Chengdu,30.63,104.07,pm25,Asia/Shanghai
143,Shanghai,31.21,121.44,pm25,Asia/Shanghai
