date,pm2_5,pm10,no2,so2,co,ozone,station
2025-10-09,32.27,67.09,13.06,1.26,0.62,9.19,AHEMEDABAD
2025-10-10,89.87,168.25,56.97,6.66,0.9,11.31,AHEMEDABAD
2025-10-11,64.38,127.43,70.04,8.01,1.8,20.24,AHEMEDABAD
2025-10-12,38.74,78.86,29.21,9.37,0.95,19.43,AHEMEDABAD
2025-11-01,73.78,152.76,40.52,26.81,0.52,47.6,AHEMEDABAD
2025-11-02,52.27,103.87,26.222845528455288,12.28,0.5488275862068966,27.24,AHEMEDABAD
2025-11-03,41.96506849315068,83.59253424657534,26.222845528455288,26.77,0.13,59.73,AHEMEDABAD
2025-11-04,19.33,35.47,39.76,19.6,0.12,51.15,AHEMEDABAD
2025-11-05,41.96,78.48,24.9,3.6,0.03,31.13,AHEMEDABAD
2025-11-06,30.16,54.09,26.222845528455288,3.77,0.32,12.45,AHEMEDABAD
2025-11-07,29.65,52.43,35.62,5.61,0.32,7.6,AHEMEDABAD
2025-11-08,23.26,46.72,9.53,2.22,0.03,19.83,AHEMEDABAD
2025-11-09,33.33,69.87,15.84,3.14,0.42,17.01,AHEMEDABAD
2025-11-10,85.47,162.64,57.03,7.67,0.93,18.04,AHEMEDABAD
2025-11-11,66.62,132.71,77.44,10.67,2.05,20.64,AHEMEDABAD
2025-11-12,45.19,88.21,32.66,9.37,0.73,18.61,AHEMEDABAD
2025-12-01,43.23,92.87,38.88,30.24,0.01,44.72,AHEMEDABAD
2025-12-02,49.54,98.68,26.222845528455288,9.34,0.5488275862068966,26.88,AHEMEDABAD
2025-12-03,41.96506849315068,83.59253424657534,26.222845528455288,22.78,0.2,45.32,AHEMEDABAD
2025-12-04,17.65,31.98,38.24,9.15,0.06,47.16,AHEMEDABAD
2025-12-05,38.87,72.79,22.17,3.7,0.01,33.56,AHEMEDABAD
2025-12-06,42.56,73.82,8.5,6.12,0.31,14.77,AHEMEDABAD
2025-12-07,29.28,51.62,33.84,4.2,0.39,8.48,AHEMEDABAD
2025-12-08,20.73,42.53,10.13,1.74,0.15,16.58,AHEMEDABAD
2025-12-09,31.1,63.54,16.09,3.16,0.08,22.4,AHEMEDABAD
2025-12-10,66.35,133.3,53.06,10.33,0.65,18.02,AHEMEDABAD
2025-12-11,56.83,113.38,73.71,7.96,1.41,21.53,AHEMEDABAD
2025-12-12,49.24,96.35,34.47,7.06,0.61,25.14,AHEMEDABAD
2026-01-01,41.93,91.31,13.47,9.91,0.0,19.69,AHEMEDABAD
2026-01-02,72.68,152.24,16.73,8.48,1.1,20.77,AHEMEDABAD
2026-02-01,35.43,76.59,15.13,16.66,0.31,18.7,AHEMEDABAD
2026-02-02,45.56,93.7,9.66,13.16,0.84,19.19,AHEMEDABAD
2026-03-01,40.65,80.8,17.05,5.14,0.62,17.44,AHEMEDABAD
2026-03-02,46.7,98.5,10.97,13.77,0.62,15.57,AHEMEDABAD
2026-04-01,41.1,81.8,19.91,12.74,0.67,17.53,AHEMEDABAD
2026-04-02,36.17,78.49,8.03,19.43,0.49,26.18,AHEMEDABAD
2026-05-01,38.83,79.84,13.77,9.07,0.46,23.78,AHEMEDABAD
2026-05-02,36.56,82.32,9.15,7.95,0.68,25.34,AHEMEDABAD
2026-06-01,42.12,83.15,21.34,10.13,0.83,21.63,AHEMEDABAD
2026-06-02,45.97,106.13,17.01,11.68,0.62,26.55,AHEMEDABAD
2026-07-01,48.24,99.35,22.25,22.9,0.73,22.11,AHEMEDABAD
2026-07-02,64.05,147.56,13.81,11.74,0.76,23.04,AHEMEDABAD
2026-08-01,50.01,101.43,17.43,12.59,0.36,25.95,AHEMEDABAD
2026-08-02,64.26,143.34,14.78,13.77,0.67,24.13,AHEMEDABAD
2026-09-01,47.89,96.69,18.65,6.39,0.3,28.07,AHEMEDABAD
2026-09-02,71.4,157.08,15.72,23.66,0.98,29.14,AHEMEDABAD
2026-10-01,55.24,114.15,19.82,9.89,0.62,25.54,AHEMEDABAD
2026-10-02,53.16,108.56,8.8,10.58,0.82,20.26,AHEMEDABAD
2026-11-01,62.11,124.03,22.23,11.15,0.77,25.13,AHEMEDABAD
2026-11-02,61.34,135.09,15.8,11.69,1.01,19.34,AHEMEDABAD
2026-12-01,58.89,118.23,24.49,8.92,0.86,30.51,AHEMEDABAD
2026-12-02,65.02,149.13,17.06,14.57,1.71,27.64,AHEMEDABAD
2025-01-01,50.1,98.33,17.04,7.78,0.87,32.35,BENGELURU
2025-01-02,41.54,81.55,17.54,8.3,0.94,10.06,BENGELURU
