city,latitude,longitude,pollutant,value,last_updated
"Collectorate, Gaya - BSPCB",24.7955,84.9994,o3,18.0,2026-03-03T08:00:00Z
"Collectorate, Gaya - BSPCB",24.7955,84.9994,co,0.89,2026-03-03T08:00:00Z
"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,pm25,688.36,2026-03-03T12:30:00Z
"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,so2,17.85,2026-03-03T12:30:00Z
"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,o3,87.61,2026-03-03T12:30:00Z
"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,pm10,56.06,2026-03-03T12:30:00Z
"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,no2,9.05,2026-03-03T12:30:00Z
"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,co,0.7625,2026-03-03T12:30:00Z
"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,pm10,140.78,2026-03-03T12:30:00Z
"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,pm25,93.97,2026-03-03T12:30:00Z
"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,no2,41.0,2026-03-03T12:30:00Z
"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,co,0.96,2026-03-03T12:30:00Z
"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,o3,53.89,2026-03-03T12:30:00Z
"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,so2,35.42,2026-03-03T12:30:00Z
"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,pm25,75.28,2026-03-03T12:30:00Z
"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,so2,14.85,2026-03-03T12:30:00Z
"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,no2,31.25,2026-03-03T12:30:00Z
"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,o3,34.23,2026-03-03T12:30:00Z
"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,co,0.64,2026-03-03T12:30:00Z
"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,pm10,150.57,2026-03-03T12:30:00Z
"Aya Nagar, New Delhi - IMD",28.474261,77.131606,pm10,111.1,2026-03-03T12:15:00Z
"Aya Nagar, New Delhi - IMD",28.474261,77.131606,pm25,40.88,2026-03-03T12:15:00Z
"Aya Nagar, New Delhi - IMD",28.474261,77.131606,no2,2.83,2026-03-03T12:15:00Z
"Aya Nagar, New Delhi - IMD",28.474261,77.131606,o3,70.06,2026-03-03T12:15:00Z
"Aya Nagar, New Delhi - IMD",28.474261,77.131606,co,0.64,2026-03-03T12:15:00Z
"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,co,1.22,2026-03-01T13:00:00Z
"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,no2,32.44,2026-03-01T13:00:00Z
"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,pm10,108.26,2026-03-01T13:00:00Z
"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,so2,7.85,2026-03-01T13:00:00Z
"Moti Doongri, Alwar - RSPCB",27.554793,76.611536,so2,16.66,2026-03-03T12:15:00Z
"Moti Doongri, Alwar - RSPCB",27.554793,76.611536,o3,81.01,2026-03-03T12:15:00Z
"Moti Doongri, Alwar - RSPCB",27.554793,76.611536,co,0.43,2026-03-03T12:15:00Z
"Moti Doongri, Alwar - RSPCB",27.554793,76.611536,pm25,38.7,2026-03-03T12:15:00Z
"Moti Doongri, Alwar - RSPCB",27.554793,76.611536,no2,46.43,2026-03-03T12:15:00Z
"Moti Doongri, Alwar - RSPCB",27.554793,76.611536,pm10,120.33,2026-03-03T12:15:00Z
"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397,pm10,87.3,2026-03-03T12:15:00Z
"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397,pm25,36.7,2026-03-03T12:15:00Z
"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397,so2,7.79,2026-03-03T12:15:00Z
"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397,no2,71.3,2026-03-03T12:15:00Z
"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397,o3,72.01,2026-03-03T12:15:00Z
"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397,co,0.91,2026-03-03T12:15:00Z
"Sirifort, Delhi - CPCB",28.5504249,77.2159377,pm10,138.0,2026-03-03T12:30:00Z
"Sirifort, Delhi - CPCB",28.5504249,77.2159377,no2,27.0,2026-03-03T12:30:00Z
"Sirifort, Delhi - CPCB",28.5504249,77.2159377,o3,26.41,2026-03-03T12:30:00Z
"Sirifort, Delhi - CPCB",28.5504249,77.2159377,pm25,44.0,2026-03-03T12:30:00Z
"Sirifort, Delhi - CPCB",28.5504249,77.2159377,co,0.1,2026-03-03T12:30:00Z
"Sirifort, Delhi - CPCB",28.5504249,77.2159377,so2,24.96,2026-03-03T12:30:00Z
"Collectorate, Jodhpur - RSPCB",26.268249,73.0193853,co,0.63,2026-03-03T12:15:00Z
"Collectorate, Jodhpur - RSPCB",26.268249,73.0193853,o3,91.14,2026-03-03T12:15:00Z
"Collectorate, Jodhpur - RSPCB",26.268249,73.0193853,so2,3.53,2026-03-03T12:15:00Z
"Collectorate, Jodhpur - RSPCB",26.268249,73.0193853,pm25,19.44,2026-03-03T12:15:00Z
"Collectorate, Jodhpur - RSPCB",26.268249,73.0193853,no2,14.27,2026-03-03T12:15:00Z
"Collectorate, Jodhpur - RSPCB",26.268249,73.0193853,pm10,42.76,2026-03-03T12:15:00Z
"RIICO Ind. Area III, Bhiwadi - RSPCB",28.194909,76.862296,co,0.31,2026-03-03T12:15:00Z
"RIICO Ind. Area III, Bhiwadi - RSPCB",28.194909,76.862296,so2,14.9,2026-03-03T12:15:00Z
"RIICO Ind. Area III, Bhiwadi - RSPCB",28.194909,76.862296,o3,10.73,2026-03-03T12:15:00Z
"RIICO Ind. Area III, Bhiwadi - RSPCB",28.194909,76.862296,pm10,155.33,2026-03-03T12:15:00Z
"RIICO Ind. Area III, Bhiwadi - RSPCB",28.194909,76.862296,pm25,65.15,2026-03-03T12:15:00Z
"RIICO Ind. Area III, Bhiwadi - RSPCB",28.194909,76.862296,no2,33.96,2026-03-03T12:15:00Z
"Ardhali Bazar, Varanasi - UPPCB",25.3505986,82.9083074,pm25,30.0,2026-03-03T12:15:00Z
"Ardhali Bazar, Varanasi - UPPCB",25.3505986,82.9083074,so2,7.335999999999999,2026-03-03T12:30:00Z
"Ardhali Bazar, Varanasi - UPPCB",25.3505986,82.9083074,co,0.2645,2026-03-03T12:30:00Z
"Ardhali Bazar, Varanasi - UPPCB",25.3505986,82.9083074,pm10,63.0,2026-03-03T12:15:00Z
"Ardhali Bazar, Varanasi - UPPCB",25.3505986,82.9083074,no2,31.771999999999995,2026-03-03T12:30:00Z
"Ardhali Bazar, Varanasi - UPPCB",25.3505986,82.9083074,o3,19.011999999999997,2026-03-03T12:30:00Z
"Gangapur Road, Nashik - MPCB",20.0073285,73.7762427,pm10,52.88,2026-03-03T12:30:00Z
"Gangapur Road, Nashik - MPCB",20.0073285,73.7762427,co,0.54,2026-03-03T12:30:00Z
"Gangapur Road, Nashik - MPCB",20.0073285,73.7762427,so2,4.57,2026-03-03T12:30:00Z
"Gangapur Road, Nashik - MPCB",20.0073285,73.7762427,pm25,57.08,2026-03-03T12:30:00Z
"Gangapur Road, Nashik - MPCB",20.0073285,73.7762427,o3,9.23,2026-03-03T12:30:00Z
"Gangapur Road, Nashik - MPCB",20.0073285,73.7762427,no2,3.87,2026-03-03T12:30:00Z
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26.1209,85.3647,co,0.34,2026-03-03T12:30:00Z
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26.1209,85.3647,o3,13.4,2026-03-03T12:30:00Z
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26.1209,85.3647,no2,7.7,2026-03-03T12:30:00Z
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26.1209,85.3647,pm25,50.0,2026-03-03T12:30:00Z
"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26.1209,85.3647,so2,4.3,2026-03-03T12:30:00Z
"Sector - 125, Noida, UP - UPPCB",28.5447608,77.3231257,pm10,162.0,2026-03-03T12:30:00Z
"Sector - 125, Noida, UP - UPPCB",28.5447608,77.3231257,no2,33.7,2026-03-03T12:30:00Z
"Sector - 125, Noida, UP - UPPCB",28.5447608,77.3231257,co,0.73,2026-03-03T12:30:00Z
"Sector - 125, Noida, UP - UPPCB",28.5447608,77.3231257,so2,11.7,2026-03-03T12:30:00Z
"Sector - 125, Noida, UP - UPPCB",28.5447608,77.3231257,pm25,44.0,2026-03-03T12:30:00Z
