city,latitude,longitude,timestamp,CO,NO2,O3,PM10,PM2.5,SO2,temperature,humidity,wind_speed,wind_direction,distance_to_road_km,distance_to_industry_km,distance_to_dump_km,distance_to_farmland_km,year,month,day,hour,day_of_week,season,road_proximity,industry_proximity,pollution_source,date
9,18.5204,73.8567,1433,0.076535408,-0.214232222,-0.690066041,-0.627647519,39.8,-0.496552295,-0.209581579,0.392907571,-1.149623053,7,-0.65500775,0.006122176,-1.523558817,-0.895962265,2026,1,13,3,1,0,60.6530465,0.700900457,Natural,1433
3,28.6139,77.209,543,0.504455128,0.12180918,-0.366345004,0.245105173,80.6,0.76508507,-1.094967677,-0.287515056,0.262196149,283,0.68565084,1.680996712,-0.605629918,1.137263421,2025,12,6,18,5,0,29.46746081,0.354495375,Natural,543
1,12.9716,77.5946,416,-0.566539478,-0.377161387,-0.175920865,-1.193359505,13,-0.9547589,0.52824017,0.247102723,0.892472579,15,-0.239075493,-1.266572114,-1.350553765,0.075327959,2025,12,1,11,0,0,45.6609975,2.722287664,Natural,416
0,23.0225,72.5714,68,-0.736272998,-0.524815942,-0.366345004,-0.478333203,44.7,-0.314525013,-0.375591472,-0.773531218,0.690784121,59,-1.303405274,0.44479552,0,0.787370434,2025,11,16,21,6,3,124.2483287,0.558069869,Natural,68
0,23.0225,72.5714,1214,-0.468524347,-0.372069851,-0.613896386,-0.823228242,28.2,-0.848053252,-0.61538354,0.53871242,-0.19160288,355,-1.303405274,0.44479552,0,0.787370434,2026,1,3,20,5,0,124.2483287,0.558069869,Natural,1214
8,19.076,72.8777,758,0.026332536,0.203273762,-0.328260177,-0.659192797,36.6,0.162512,0.841814414,-1.356750612,0.690784121,44,-0.418574795,-1.535032622,1.782944166,-0.982168092,2025,12,15,17,0,0,51.11333534,6.950717274,Natural,758
2,13.0827,80.2707,1150,-0.585664382,-0.611372061,0.109715344,-0.541423759,39.8,-1.099125365,0.565131258,1.753752825,0.413462492,52,0.17016681,-0.988958675,0,1.14039886,2026,1,1,3,3,0,36.72855661,1.671052835,Natural,1150
1,12.9716,77.5946,1488,-0.781694645,-0.64192128,0.471521209,-0.989366707,22.3,-1.011250125,1.487408444,-1.453953844,0.741206236,30,-0.239075493,-1.266572114,-1.350553765,0.075327959,2026,1,15,10,3,0,45.6609975,2.722287664,Natural,1488
5,26.9124,75.7873,1520,0.205628508,0.315287563,-0.518684316,-0.12292307,62.2,0.030699141,-1.592997358,1.024728582,-0.594979795,58,-1.385463387,0.502224792,1.501212903,-0.651178842,2026,1,16,18,4,0,143.257835,0.543568428,Natural,1520
7,26.8467,80.9462,1941,-0.776913419,-0.942321927,0.300139484,-0.329018887,47.8,-0.816669238,-0.228027122,0.53871242,-0.620190852,167,-2.40E-15,2.67E-16,0,-3.02E-16,2026,2,3,9,1,0,39.98069838,0.703412965,Natural,1941
