location_id,name,locality,latitude,longitude,timezone,pollutants_available,isMobile,isMonitor,last_updated_utc
71,Biest Houtakker-Biestsestraat,Biest Houtakker,51.5184,5.14845,Europe/Amsterdam,"no,no2,o3,pm10,pm25",False,True,2026-03-03T11:00:00Z
72,Curicó,Curicó,-34.974925077541,-71.233967512329,America/Santiago,"pm10,pm25",False,True,2026-03-03T09:00:00Z
73,Coyhaique II,Coyhaique,-45.579045667164,-72.049964505825,America/Santiago,"co,no2,o3,pm10,pm25,so2",False,True,2026-03-03T09:00:00Z
74,Leiden-Willem de Zwijgerlaan,Coyhaique,52.1678,4.50756,Europe/Amsterdam,pm10,False,True,2026-03-03T09:00:00Z
76,De Zilk-Vogelaarsdreef,De Zilk,52.296555999830005,4.51081699998525,Europe/Amsterdam,"no,no2,o3,pm10,pm25,so2",False,True,2026-03-03T11:00:00Z
77,Hoek v. Holland-Berghaven,Hoek v. Holland,51.97783000007194,4.121903000365913,Europe/Amsterdam,"no,no2,o3,pm10,pm25,so2",False,True,2026-03-03T10:00:00Z
79,Hilversum-J. Gerardtsweg,Hoek v. Holland,52.23510000000001,5.18155,Europe/Amsterdam,"no2,pm10,pm25",False,True,2018-06-25T10:00:00Z
80,Amsterdam-Van Diemenstraat,Amsterdam,52.389983000188224,4.88781099987638,Europe/Amsterdam,"co,no,no2,o3,pm10,pm25",False,True,2026-03-02T17:00:00Z
81,Coronel Norte,Amsterdam,-37.008669,-73.148086,America/Santiago,"co,o3,pm10,so2",False,True,2017-05-27T14:00:00Z
82,Haarlem-Schipholweg,Haarlem,52.3705,4.64232,Europe/Amsterdam,"no,no2,o3,pm10",False,True,2026-03-03T11:00:00Z
85,Hellendoorn-Luttenbergerweg,Hellendoorn,52.3883,6.40293,Europe/Amsterdam,"no,no2,o3,pm10",False,True,2026-03-03T11:00:00Z
86,De Rips-Blaarpeelweg,Hellendoorn,51.5475,5.8382,Europe/Amsterdam,pm10,False,True,2026-03-03T11:00:00Z
87,De Rips-Klotterpeellaan,Hellendoorn,51.5359,5.80859,Europe/Amsterdam,pm10,False,True,2026-03-03T11:00:00Z
90,Misheel expo,Hellendoorn,47.8943389,106.8824722,Asia/Ulaanbaatar,"co,no2,o3,pm10,so2",False,True,2019-03-13T22:00:00Z
93,Nijmegen-Graafseweg,Nijmegen,51.8414,5.85778,Europe/Amsterdam,"co,no,no2,pm10,pm25",False,True,2026-03-03T11:00:00Z
94,"Din Daeng, Din Daeng",Nijmegen,13.775373291477,100.56892844813,Asia/Bangkok,"co,no2,o3,pm10,so2",False,True,2020-09-15T07:00:00Z
95,Amsterdam-Vondelpark,Amsterdam,52.35971400001388,4.866208000411839,Europe/Amsterdam,"co,no,no2,o3,pm10,pm25",False,True,2026-03-03T10:00:00Z
96,Wijk aan Zee-Burgemeester Rothestraat,Wijk aan Zee,52.49399200004851,4.601986000379324,Europe/Amsterdam,"co,no,no2,pm10,pm25,so2",False,True,2025-09-04T13:00:00Z
97,IJmuiden-Kanaaldijk,IJmuiden,52.463040000051045,4.60177600031704,Europe/Amsterdam,"co,no,no2,pm10,pm25,so2",False,True,2026-03-03T10:00:00Z
98,Amsterdam-Westerpark,Amsterdam,52.39397200025616,4.870156999790721,Europe/Amsterdam,"pm10,pm25,so2",False,True,2026-03-03T10:00:00Z
99,Maastricht-A2 Kasteel Hillenraadweg,Amsterdam,50.8598,5.71381,Europe/Amsterdam,pm25,False,True,2021-04-20T21:00:00Z
100,Badhoevedorp-Sloterweg,Badhoevedorp,52.33400300025121,4.7740060003231,Europe/Amsterdam,"co,no,no2,pm10,pm25",False,True,2025-09-04T13:00:00Z
101,Amsterdam-Hoogtij,Amsterdam,52.42801700027339,4.7734780002434976,Europe/Amsterdam,"no,no2,pm10,pm25,so2",False,True,2025-09-04T13:00:00Z
102,Amsterdam-Einsteinweg,Amsterdam,52.38133100023151,4.845232999687698,Europe/Amsterdam,"co,no,no2,pm10,pm25",False,True,2026-03-03T10:00:00Z
103,"Income Tax Office, Delhi - CPCB",Amsterdam,28.6235,77.2494,Asia/Kolkata,"co,no2,o3,pm10,pm25",False,True,2018-02-22T03:45:00Z
135,Prabadang Rehabiltation Center,Samut Prakan,13.664087,100.543436,Asia/Bangkok,"no2,o3,pm10,pm25,so2",False,True,2026-03-03T11:00:00Z
