city,latitude,longitude,pollutant,value,last_updated,distance_to_road_m,distance_to_industry_m,distance_to_farmland_m,distance_to_dump_m,temperature,humidity,wind_speed,wind_direction,hour,month,day_of_week
"Sector-6, Panchkula - HSPCB ",30.7057778,76.8531805555555,co,0.15,2026-03-03 12:30:00+00:00,16.1,1139.05,3992.09,4360.59,23.74,19,2.46,108,12,3,1
"Sector-6, Panchkula - HSPCB ",30.7057778,76.8531805555555,pm25,65.08,2026-03-03 12:30:00+00:00,16.1,1139.05,3992.09,4360.59,23.74,19,2.46,108,12,3,1
"Manali, Chennai - CPCB",13.164544,80.26285,so2,3.62,2026-03-03 12:15:00+00:00,13.88,150.82,3168.68,2643.47,23.99,75,3.34,94,12,3,1
"Manali, Chennai - CPCB",13.164544,80.26285,co,0.223,2026-03-03 12:15:00+00:00,13.88,150.82,3168.68,2643.47,23.99,75,3.34,94,12,3,1
"Manali, Chennai - CPCB",13.164544,80.26285,pm25,78.77,2026-03-03 12:15:00+00:00,13.88,150.82,3168.68,2643.47,23.99,75,3.34,94,12,3,1
"Manali, Chennai - CPCB",13.164544,80.26285,pm10,88.22,2026-03-03 12:15:00+00:00,13.88,150.82,3168.68,2643.47,23.99,75,3.34,94,12,3,1
"Manali, Chennai - CPCB",13.164544,80.26285,no2,8.21,2026-03-03 12:15:00+00:00,13.88,150.82,3168.68,2643.47,23.99,75,3.34,94,12,3,1
"Manali, Chennai - CPCB",13.164544,80.26285,o3,39.9,2026-03-03 12:15:00+00:00,13.88,150.82,3168.68,2643.47,23.99,75,3.34,94,12,3,1
"Pusa, Delhi - IMD",28.639645,77.146263,co,1.5457500000000002,2026-03-03 12:15:00+00:00,15.36,237.96,15.15,5945.72,28.12,16,0.79,349,12,3,1
"Pusa, Delhi - IMD",28.639645,77.146263,pm10,122.1,2026-03-03 12:15:00+00:00,15.36,237.96,15.15,5945.72,28.12,16,0.79,349,12,3,1
"Pusa, Delhi - IMD",28.639645,77.146263,pm25,50.7,2026-03-03 12:15:00+00:00,15.36,237.96,15.15,5945.72,28.12,16,0.79,349,12,3,1
"Pusa, Delhi - IMD",28.639645,77.146263,no2,41.56679999999999,2026-03-03 12:15:00+00:00,15.36,237.96,15.15,5945.72,28.12,16,0.79,349,12,3,1
"Pusa, Delhi - IMD",28.639645,77.146263,o3,138.6504,2026-03-03 12:15:00+00:00,15.36,237.96,15.15,5945.72,28.12,16,0.79,349,12,3,1
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,so2,10.0,2026-03-03 12:30:00+00:00,9.9,5000.0,1027.06,5000.0,23.14,78,1.89,142,12,3,1
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,no2,15.8,2026-03-03 12:30:00+00:00,9.9,5000.0,1027.06,5000.0,23.14,78,1.89,142,12,3,1
