country,state,city,station,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",16.554731,80.64911,PM10,60,76,65
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",16.554731,80.64911,O3,29,40,31
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.071318,91.87488,O3,13,32,27
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26.10887,91.589544,NO2,10,30,18
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",26.1875,91.744194,SO2,27,62,41
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26.349082,92.68449,PM10,71,125,101
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947,PM2.5,17,43,27
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947,NO2,7,8,7
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25.7808257,84.7446768,SO2,23,29,26
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",27.103358,93.679645,PM2.5,55,369,145
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.071318,91.87488,NO2,4,11,8
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,NO2,16,29,22
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,SO2,14,21,17
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",28.4706914,77.1099364,CO,24,64,27
India,Delhi,Delhi,"Bawana, Delhi - DPCC",28.7762,77.051074,PM2.5,48,500,326
India,Delhi,Delhi,"Bawana, Delhi - DPCC",28.7762,77.051074,PM10,107,500,292
India,Delhi,Delhi,"Bawana, Delhi - DPCC",28.7762,77.051074,CO,28,105,44
India,Delhi,Delhi,"Bawana, Delhi - DPCC",28.7762,77.051074,O3,3,120,83
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",28.7256504,77.2011573,NO2,63,184,118
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",28.5512005,77.2735737,PM10,94,288,177
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",28.5512005,77.2735737,CO,4,62,6
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",28.656756,77.227234,NO2,17,62,36
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",28.656756,77.227234,NH3,5,12,8
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",22.348441,82.549611,O3,12,26,26
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",22.12665,83.483212,NH3,2,2,2
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",22.1910172,83.5197009,PM10,34,105,60
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",22.1910172,83.5197009,NO2,13,77,29
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",22.1910172,83.5197009,NH3,1,3,2
