city,latitude,longitude,datetimeUtc,Temperature,Humidity,Wind Speed,Wind Direction
Pune,18.530085,73.849598,2025-02-25T12:00,32.7,14,9,59
Pune,18.530085,73.849598,2025-02-25T13:00,31,17,6.3,108
Pune,18.530085,73.849598,2025-02-25T14:00,29.6,20,5.9,117
Pune,18.530085,73.849598,2025-02-25T15:00,29,23,9.4,72
Pune,18.530085,73.849598,2025-02-25T16:00,27.2,27,4.8,295
Pune,18.530085,73.849598,2025-02-25T17:00,25.6,33,7.8,277
Pune,18.530085,73.849598,2025-02-25T18:00,24.6,38,5.4,270
Pune,18.530085,73.849598,2025-02-25T19:00,23.2,45,4.2,252
Pune,18.530085,73.849598,2025-02-25T20:00,22.6,47,1.5,201
Pune,18.530085,73.849598,2025-02-25T21:00,22,50,1,225
Pune,18.530085,73.849598,2025-02-25T22:00,21.6,52,0.6,252
Pune,18.530085,73.849598,2025-02-25T23:00,21.2,53,1.1,360
Pune,18.530085,73.849598,2025-02-26T00:00,20.5,51,0.7,14
Pune,18.530085,73.849598,2025-02-26T01:00,19.6,57,0.7,76
Pune,18.530085,73.849598,2025-02-26T02:00,19.6,57,2.2,81
Pune,18.530085,73.849598,2025-02-26T03:00,22,45,2.7,67
Pune,18.530085,73.849598,2025-02-26T04:00,25,35,4.8,48
Pune,18.530085,73.849598,2025-02-26T05:00,28.5,28,6.3,59
Pune,18.530085,73.849598,2025-02-26T06:00,31.4,24,8.6,89
Pune,18.530085,73.849598,2025-02-26T07:00,32.8,21,10.6,89
Pune,18.530085,73.849598,2025-02-26T08:00,33.3,20,11.3,83
Pune,18.530085,73.849598,2025-02-26T09:00,33.6,20,11.7,77
Pune,18.530085,73.849598,2025-02-26T10:00,33.7,19,9.9,78
Pune,18.530085,73.849598,2025-02-26T11:00,33.4,20,8.1,90
Pune,18.530085,73.849598,2025-02-26T12:00,33,20,10.5,93
Pune,18.530085,73.849598,2025-02-26T13:00,31.5,23,8.8,101
Pune,18.530085,73.849598,2025-02-26T14:00,29.8,27,3.8,95
Pune,18.530085,73.849598,2025-02-26T15:00,28.5,29,5.9,104
Pune,18.530085,73.849598,2025-02-26T16:00,27.6,33,5.4,146
Pune,18.530085,73.849598,2025-02-26T17:00,26.1,37,2.4,324
Pune,18.530085,73.849598,2025-02-26T18:00,25,38,2.7,278
Pune,18.530085,73.849598,2025-02-26T19:00,24.1,42,1.2,231
Pune,18.530085,73.849598,2025-02-26T20:00,23.7,43,0.6,162
